product_id,product_name,category,price,stock_quantity,reorder_level,supplier_id
P00055,Product D55,Electronics,348.7,848,20,S0758
P00056,Product E56,Electronics,360.42,210,22,S0041
P00057,Product F57,Apparel,677.25,734,26,S0340
P00058,Product G58,Home,866.76,96,31,S0452
P00059,Product H59,Books,525.06,534,18,S0704
P00060,Product I60,Toys,871.5,619,44,S0284
P00061,Product J61,Apparel,921.87,197,14,S0779
P00062,Product K62,Home,290.6,228,12,S0135
P00063,Product L63,Books,857.64,690,33,S0496
P00064,Product M64,Toys,873.04,982,38,S0339
P00065,Product N65,Electronics,837.69,316,36,S0226
P00066,Product O66,Toys,230.31,164,34,S0733
P00067,Product P67,Toys,161.43,287,41,S0838
P00068,Product Q68,Toys,341.6,642,33,S0421
P00069,Product R69,Electronics,459.44,873,14,S0168
P00070,Product S70,Books,629.75,637,23,S0022
P00071,Product T71,Books,962.42,780,38,S0168
P00072,Product U72,Apparel,227.37,858,27,S0751
P00073,Product V73,Books,691.84,659,30,S0602
P00074,Product W74,Apparel,611.39,68,18,S0214
P00075,Product X75,Apparel,922.85,545,40,S0409
P00076,Product Y76,Toys,408.77,79,18,S0143
P00077,Product Z77,Books,43.66,677,29,S0154
P00078,Product A78,Home,476.38,446,40,S0813
P00079,Product B79,Toys,442.34,940,39,S0817
P00080,Product C80,Home,288.68,296,25,S0453
P00081,Product D81,Toys,677.4,641,39,S0106
P00082,Product E82,Electronics,880.03,662,11,S0256
P00083,Product F83,Electronics,823.56,243,26,S0566
P00084,Product G84,Home,469.34,215,27,S0424
P00085,Product H85,Books,190.15,663,18,S0189
P00086,Product I86,Books,10.09,681,47,S0868
P00087,Product J87,Toys,465.41,526,43,S0261
P00088,Product K88,Electronics,291.38,781,38,S0368
P00089,Product L89,Home,809.62,737,10,S0155
P00090,Product M90,Home,603.56,705,30,S0148
P00091,Product N91,Books,500.06,595,45,S0570
P00092,Product O92,Home,364.44,157,12,S0525
P00093,Product P93,Electronics,486.49,511,31,S0469
P00094,Product Q94,Electronics,419.82,894,11,S0319
P00095,Product R95,Toys,272.51,543,48,S0871
P00096,Product S96,Toys,495.37,648,17,S0729
P00097,Product T97,Toys,254.68,303,27,S0378
P00098,Product U98,Apparel,184.1,272,36,S0316
P00099,Product V99,Books,307.13,223,37,S0506
P00100,Product W100,Home,33.83,687,49,S0076
P00101,Product X101,Books,754.68,229,40,S0044
P00102,Product Y102,Toys,186.99,687,10,S0397
P00103,Product Z103,Apparel,65.82,587,36,S0694
P00104,Product A104,Apparel,273.54,232,48,S0366
P00105,Product B105,Toys,737.25,169,30,S0159
P00106,Product C106,Toys,222.11,529,33,S0050
P00107,Product D107,Toys,329.77,775,12,S0714
P00108,Product E108,Toys,754.28,361,50,S0051
P00109,Product F109,Books,268.35,915,34,S0533
P00110,Product G110,Home,440.3,641,14,S0300
P00111,Product H111,Books,44.28,577,18,S0282
P00112,Product I112,Apparel,878.19,756,17,S0720
P00113,Product J113,Books,814.94,468,20,S0053
P00114,Product K114,Apparel,368.42,208,10,S0215
P00115,Product L115,Toys,691.13,646,22,S0692
P00116,Product M116,Apparel,721.75,329,49,S0725
P00117,Product N117,Apparel,321.13,319,39,S0855
P00118,Product O118,Books,222.97,857,40,S0732
P00119,Product P119,Home,969.64,745,25,S0426
P00120,Product Q120,Electronics,165.22,541,30,S0345
P00121,Product R121,Toys,517.42,114,45,S0748
P00122,Product S122,Electronics,794.27,372,11,S0637
P00123,Product T123,Electronics,561.08,272,43,S0329
P00124,Product U124,Apparel,547.0,893,41,S0682
P00125,Product V125,Electronics,8.78,355,39,S0517
P00126,Product W126,Home,758.47,537,33,S0364
P00127,Product X127,Electronics,814.17,470,16,S0707
P00128,Product Y128,Books,706.52,851,29,S0711
P00129,Product Z129,Toys,128.02,494,29,S0373
P00130,Product A130,Toys,694.34,479,19,S0274
P00131,Product B131,Electronics,333.62,355,24,S0257
P00132,Product C132,Apparel,241.2,279,14,S0646
P00133,Product D133,Toys,400.72,87,27,S0035
P00134,Product E134,Books,649.26,170,22,S0490
P00135,Product F135,Toys,183.05,767,12,S0591
P00136,Product G136,Apparel,782.99,199,13,S0046
P00137,Product H137,Apparel,609.62,852,48,S0212
P00138,Product I138,Home,153.47,696,25,S0444
P00139,Product J139,Books,371.08,542,30,S0406
P00140,Product K140,Books,652.24,212,36,S0319
P00141,Product L141,Books,272.32,494,21,S0799
P00142,Product M142,Electronics,925.17,505,19,S0707
P00143,Product N143,Electronics,789.88,789,12,S0514
P00144,Product O144,Home,727.02,886,44,S0600
P00145,Product P145,Home,894.23,537,25,S0067
P00146,Product Q146,Electronics,112.57,836,33,S0206
P00147,Product R147,Toys,10.97,957,45,S0401
P00148,Product S148,Apparel,784.91,799,23,S0194
P00149,Product T149,Books,96.8,871,31,S0514
P00150,Product U150,Apparel,526.1,277,47,S0122
P00151,Product V151,Books,607.27,73,16,S0022
P00152,Product W152,Electronics,521.52,358,19,S0226
P00153,Product X153,Home,340.56,840,35,S0225
P00154,Product Y154,Home,227.12,508,19,S0099
P00155,Product Z155,Books,124.46,629,43,S0088
P00156,Product A156,Electronics,848.38,453,20,S0008
P00157,Product B157,Books,692.26,303,49,S0437
P00158,Product C158,Electronics,14.21,254,36,S0417
P00159,Product D159,Books,556.79,307,17,S0413
P00160,Product E160,Toys,530.89,367,15,S0108
P00161,Product F161,Electronics,942.46,249,20,S0647
P00162,Product G162,Apparel,353.49,622,15,S0265
P00163,Product H163,Electronics,953.98,607,30,S0289
P00164,Product I164,Home,170.57,569,17,S0246
P00165,Product J165,Apparel,226.97,339,18,S0044
P00166,Product K166,Home,437.33,295,24,S0011
P00167,Product L167,Books,802.37,191,34,S0774
P00168,Product M168,Toys,656.85,651,38,S0769
P00169,Product N169,Books,87.13,820,50,S0321
P00170,Product O170,Home,808.86,893,39,S0097
P00171,Product P171,Books,516.34,419,18,S0364
P00172,Product Q172,Electronics,169.04,298,44,S0872
P00173,Product R173,Books,923.62,924,47,S0424
P00174,Product S174,Apparel,651.89,929,43,S0570
P00175,Product T175,Books,291.95,381,42,S0349
P00176,Product U176,Home,386.73,140,16,S0109
P00177,Product V177,Apparel,863.89,752,50,S0723
P00178,Product W178,Toys,612.57,116,32,S0805
P00179,Product X179,Books,631.35,352,50,S0102
P00180,Product Y180,Electronics,611.83,620,38,S0483
P00181,Product Z181,Home,583.91,225,37,S0112
P00182,Product A182,Books,221.47,70,26,S0431
P00183,Product B183,Apparel,804.33,631,12,S0537
P00184,Product C184,Books,24.84,552,37,S0272
P00185,Product D185,Home,895.01,683,20,S0305
P00186,Product E186,Apparel,167.62,699,45,S0202
P00187,Product F187,Electronics,800.08,648,47,S0332
P00188,Product G188,Toys,648.42,145,32,S0361
P00189,Product H189,Apparel,437.54,75,20,S0121
P00190,Product I190,Toys,313.47,984,26,S0506
P00191,Product J191,Books,775.1,832,42,S0168
P00192,Product K192,Apparel,126.34,795,31,S0598
P00193,Product L193,Apparel,953.56,893,27,S0030
P00194,Product M194,Books,402.13,861,14,S0605
P00195,Product N195,Books,355.53,169,45,S0453
P00196,Product O196,Apparel,826.49,971,29,S0327
P00197,Product P197,Books,763.6,782,13,S0813
P00198,Product Q198,Home,837.88,230,23,S0396
P00199,Product R199,Home,88.9,331,26,S0419
P00200,Product S200,Toys,835.24,457,25,S0747
P00201,Product T201,Books,365.34,371,29,S0233
P00202,Product U202,Toys,576.58,731,21,S0448
P00203,Product V203,Books,59.13,585,25,S0403
P00204,Product W204,Home,761.34,837,43,S0358
P00205,Product X205,Books,673.81,676,41,S0744
P00206,Product Y206,Electronics,601.65,390,17,S0148
P00207,Product Z207,Home,999.61,728,18,S0695
P00208,Product A208,Books,368.36,774,35,S0607
P00209,Product B209,Toys,380.26,318,18,S0525
P00210,Product C210,Home,795.42,232,35,S0517
P00211,Product D211,Home,732.88,596,34,S0573
P00212,Product E212,Apparel,719.7,128,45,S0865
P00213,Product F213,Home,175.41,906,23,S0175
P00214,Product G214,Toys,801.62,299,40,S0854
P00215,Product H215,Toys,14.59,556,26,S0467
P00216,Product I216,Home,295.09,184,36,S0112
P00217,Product J217,Toys,716.19,294,43,S0070
P00218,Product K218,Apparel,720.69,337,46,S0433
P00219,Product L219,Electronics,567.62,984,42,S0081
P00220,Product M220,Apparel,691.45,783,29,S0427
P00221,Product N221,Electronics,726.96,947,27,S0451
P00222,Product O222,Toys,121.85,167,12,S0075
P00223,Product P223,Books,894.69,890,46,S0098
P00224,Product Q224,Electronics,981.93,330,22,S0099
P00225,Product R225,Apparel,74.98,918,28,S0428
P00226,Product S226,Home,134.69,434,10,S0051
P00227,Product T227,Electronics,312.77,89,43,S0354
P00228,Product U228,Apparel,448.28,866,42,S0731
P00229,Product V229,Apparel,844.37,141,28,S0739
P00230,Product W230,Home,221.03,170,46,S0162
P00231,Product X231,Toys,581.66,129,45,S0263
P00232,Product Y232,Books,925.09,562,11,S0864
P00233,Product Z233,Books,925.96,178,34,S0187
P00234,Product A234,Books,283.28,689,23,S0108
P00235,Product B235,Home,895.92,890,26,S0491
P00236,Product C236,Books,979.78,631,25,S0300
P00237,Product D237,Books,668.19,940,36,S0329
P00238,Product E238,Books,507.04,516,41,S0055
P00239,Product F239,Apparel,212.62,905,49,S0452
P00240,Product G240,Apparel,159.88,528,22,S0652
P00241,Product H241,Toys,135.16,461,46,S0474
P00242,Product I242,Home,516.05,706,49,S0049
P00243,Product J243,Toys,645.7,844,17,S0537
P00244,Product K244,Home,976.5,676,32,S0533
P00245,Product L245,Toys,989.55,667,40,S0700
P00246,Product M246,Books,389.68,221,41,S0274
P00247,Product N247,Toys,915.08,534,17,S0370
P00248,Product O248,Home,912.05,126,31,S0565
P00249,Product P249,Electronics,463.29,211,27,S0506
P00250,Product Q250,Books,639.09,522,30,S0477
P00251,Product R251,Books,311.89,719,16,S0540
P00252,Product S252,Books,621.34,239,23,S0613
P00253,Product T253,Electronics,181.85,132,36,S0122
P00254,Product U254,Books,310.16,422,15,S0396
P00255,Product V255,Toys,210.24,509,23,S0117
P00256,Product W256,Apparel,253.98,473,37,S0269
P00257,Product X257,Home,225.29,822,32,S0702
P00258,Product Y258,Apparel,641.54,709,16,S0306
P00259,Product Z259,Toys,978.69,171,50,S0862
P00260,Product A260,Books,543.96,538,47,S0167
P00261,Product B261,Toys,842.21,737,37,S0800
P00262,Product C262,Toys,335.19,572,34,S0865
P00263,Product D263,Books,837.51,839,31,S0661
P00264,Product E264,Apparel,206.59,643,46,S0079
P00265,Product F265,Books,382.12,940,18,S0598
P00266,Product G266,Books,164.15,864,36,S0731
P00267,Product H267,Home,88.69,932,25,S0379
P00268,Product I268,Apparel,35.62,716,21,S0283
P00269,Product J269,Books,980.41,418,31,S0076
P00270,Product K270,Apparel,925.93,376,22,S0845
P00271,Product L271,Home,633.0,483,28,S0870
P00272,Product M272,Books,468.36,188,33,S0221
P00273,Product N273,Apparel,631.52,423,15,S0827
P00274,Product O274,Home,309.61,435,34,S0388
P00275,Product P275,Home,60.95,801,21,S0439
P00276,Product Q276,Electronics,646.28,677,13,S0773
P00277,Product R277,Apparel,115.33,668,26,S0607
P00278,Product S278,Home,149.1,918,31,S0184
P00279,Product T279,Toys,829.1,412,16,S0778
P00280,Product U280,Home,16.99,941,45,S0710
P00281,Product V281,Toys,675.74,485,28,S0536
P00282,Product W282,Books,82.99,294,36,S0811
P00283,Product X283,Apparel,532.16,797,45,S0096
P00284,Product Y284,Toys,314.17,993,27,S0323
P00285,Product Z285,Books,346.9,186,33,S0500
P00286,Product A286,Electronics,584.0,940,45,S0254
P00287,Product B287,Home,445.35,175,26,S0152
P00288,Product C288,Home,858.26,544,35,S0849
P00289,Product D289,Apparel,819.32,895,27,S0832
P00290,Product E290,Electronics,564.52,419,17,S0833
P00291,Product F291,Toys,972.17,70,17,S0651
P00292,Product G292,Apparel,618.21,640,31,S0658
P00293,Product H293,Home,235.87,231,29,S0043
P00294,Product I294,Home,33.72,843,23,S0707
P00295,Product J295,Electronics,154.05,427,49,S0574
P00296,Product K296,Home,209.57,445,13,S0766
P00297,Product L297,Home,943.7,633,28,S0291
P00298,Product M298,Electronics,865.81,389,41,S0680
P00299,Product N299,Electronics,328.08,193,23,S0276
P00300,Product O300,Electronics,751.1,259,19,S0329
P00301,Product P301,Home,800.39,549,12,S0569
P00302,Product Q302,Electronics,170.23,787,45,S0851
P00303,Product R303,Books,987.53,689,42,S0347
P00304,Product S304,Home,570.7,369,10,S0771
P00305,Product T305,Toys,170.83,604,23,S0032
P00306,Product U306,Apparel,692.79,814,31,S0881
P00307,Product V307,Toys,689.15,711,16,S0761
P00308,Product W308,Toys,223.28,605,40,S0402
P00309,Product X309,Toys,945.13,455,28,S0618
P00310,Product Y310,Home,193.67,727,34,S0360
P00311,Product Z311,Books,826.72,902,46,S0333
P00312,Product A312,Apparel,241.45,998,26,S0363
P00313,Product B313,Toys,48.21,80,13,S0804
P00314,Product C314,Toys,216.95,882,35,S0385
P00315,Product D315,Books,177.53,290,30,S0154
P00316,Product E316,Books,957.88,856,21,S0125
P00317,Product F317,Home,426.74,289,10,S0499
P00318,Product G318,Electronics,750.55,650,23,S0492
P00319,Product H319,Toys,427.34,404,47,S0278
P00320,Product I320,Apparel,888.21,350,40,S0619
P00321,Product J321,Apparel,734.0,526,21,S0503
P00322,Product K322,Home,637.27,973,49,S0365
P00323,Product L323,Apparel,822.05,421,21,S0815
P00324,Product M324,Toys,169.76,943,44,S0455
P00325,Product N325,Home,516.43,960,36,S0809
P00326,Product O326,Electronics,225.23,781,21,S0541
P00327,Product P327,Electronics,263.98,715,40,S0198
P00328,Product Q328,Home,622.61,603,22,S0456
P00329,Product R329,Books,290.03,541,47,S0484
P00330,Product S330,Electronics,214.18,724,42,S0747
P00331,Product T331,Home,360.34,882,29,S0391
P00332,Product U332,Toys,297.98,759,29,S0668
P00333,Product V333,Electronics,673.83,750,29,S0502
P00334,Product W334,Toys,700.41,320,10,S0614
P00335,Product X335,Books,192.34,418,22,S0333
P00336,Product Y336,Electronics,25.37,479,30,S0200
P00337,Product Z337,Toys,277.52,57,21,S0187
P00338,Product A338,Toys,481.56,478,28,S0511
P00339,Product B339,Electronics,233.13,828,49,S0651
P00340,Product C340,Electronics,888.5,645,39,S0062
P00341,Product D341,Apparel,705.49,887,23,S0120
P00342,Product E342,Toys,234.2,387,20,S0168
P00343,Product F343,Toys,30.89,612,34,S0130
P00344,Product G344,Books,37.8,247,17,S0194
P00345,Product H345,Home,337.66,192,13,S0114
P00346,Product I346,Toys,899.48,293,37,S0151
P00347,Product J347,Toys,294.56,964,17,S0674
P00348,Product K348,Books,479.99,337,14,S0216
P00349,Product L349,Electronics,535.73,510,10,S0605
P00350,Product M350,Apparel,904.23,500,26,S0188
P00351,Product N351,Home,55.72,675,50,S0239
P00352,Product O352,Books,531.81,813,37,S0218
P00353,Product P353,Books,324.93,62,12,S0413
P00354,Product Q354,Toys,953.8,839,28,S0054
P00355,Product R355,Books,760.52,710,25,S0853
P00356,Product S356,Home,373.74,257,35,S0799
P00357,Product T357,Toys,59.07,808,35,S0721
P00358,Product U358,Books,960.04,239,39,S0323
P00359,Product V359,Home,704.41,102,42,S0541
P00360,Product W360,Apparel,809.82,976,31,S0854
P00361,Product X361,Electronics,81.9,508,26,S0761
P00362,Product Y362,Apparel,715.71,655,29,S0379
P00363,Product Z363,Toys,499.82,348,22,S0416
P00364,Product A364,Toys,945.3,469,49,S0753
P00365,Product B365,Home,427.11,400,46,S0692
P00366,Product C366,Toys,219.62,834,39,S0732
P00367,Product D367,Electronics,798.71,565,27,S0815
P00368,Product E368,Toys,452.19,805,19,S0296
P00369,Product F369,Home,238.92,601,18,S0256
P00370,Product G370,Apparel,276.49,264,37,S0178
P00371,Product H371,Toys,447.02,339,45,S0684
P00372,Product I372,Toys,505.94,615,10,S0827
P00373,Product J373,Books,350.28,719,33,S0484
P00374,Product K374,Home,223.9,99,36,S0696
P00375,Product L375,Apparel,288.52,714,21,S0436
P00376,Product M376,Home,89.63,109,24,S0137
P00377,Product N377,Home,198.81,519,31,S0437
P00378,Product O378,Electronics,710.23,555,36,S0015
P00379,Product P379,Books,662.59,70,33,S0703
P00380,Product Q380,Home,431.51,955,22,S0480
P00381,Product R381,Apparel,496.83,827,29,S0001
P00382,Product S382,Home,331.79,142,37,S0629
P00383,Product T383,Apparel,666.18,735,29,S0781
P00384,Product U384,Books,464.19,820,47,S0524
P00385,Product V385,Apparel,194.9,389,49,S0080
P00386,Product W386,Electronics,460.46,899,11,S0305
P00387,Product X387,Apparel,877.51,642,12,S0309
P00388,Product Y388,Apparel,113.47,481,31,S0394
P00389,Product Z389,Apparel,716.07,974,11,S0563
P00390,Product A390,Home,415.7,234,41,S0245
P00391,Product B391,Toys,863.26,433,24,S0874
P00392,Product C392,Electronics,649.06,641,37,S0300
P00393,Product D393,Books,285.49,935,31,S0586
P00394,Product E394,Electronics,881.15,494,26,S0405
P00395,Product F395,Toys,179.92,550,31,S0026
P00396,Product G396,Apparel,388.88,718,19,S0179
P00397,Product H397,Home,702.57,462,32,S0812
P00398,Product I398,Home,896.76,548,42,S0484
P00399,Product J399,Books,779.91,710,30,S0463
P00400,Product K400,Electronics,976.74,574,27,S0208
P00401,Product L401,Home,182.79,124,16,S0237
P00402,Product M402,Apparel,489.02,841,37,S0548
P00403,Product N403,Books,708.15,68,13,S0213
P00404,Product O404,Electronics,316.24,587,12,S0083
P00405,Product P405,Books,784.97,464,33,S0170
P00406,Product Q406,Electronics,215.1,726,19,S0607
P00407,Product R407,Home,473.19,334,25,S0753
P00408,Product S408,Home,530.29,923,12,S0622
P00409,Product T409,Home,225.91,424,10,S0116
P00410,Product U410,Toys,904.89,322,17,S0807
P00411,Product V411,Apparel,596.91,716,39,S0574
P00412,Product W412,Toys,769.52,58,46,S0024
P00413,Product X413,Toys,453.25,752,50,S0334
P00414,Product Y414,Home,171.05,629,35,S0686
P00415,Product Z415,Books,594.0,852,16,S0240
P00416,Product A416,Home,213.44,190,37,S0001
P00417,Product B417,Electronics,923.86,141,32,S0277
P00418,Product C418,Electronics,525.13,967,20,S0417
P00419,Product D419,Books,469.52,628,11,S0281
P00420,Product E420,Apparel,843.13,886,41,S0613
P00421,Product F421,Apparel,24.51,863,24,S0587
P00422,Product G422,Apparel,378.85,933,22,S0185
P00423,Product H423,Toys,497.81,557,31,S0473
P00424,Product I424,Books,395.72,778,50,S0175
P00425,Product J425,Electronics,368.82,221,10,S0478
P00426,Product K426,Home,666.53,503,21,S0643
P00427,Product L427,Apparel,853.81,772,16,S0829
P00428,Product M428,Toys,873.56,482,36,S0832
P00429,Product N429,Apparel,317.66,559,27,S0857
P00430,Product O430,Electronics,561.97,883,44,S0325
P00431,Product P431,Electronics,742.87,791,28,S0136
P00432,Product Q432,Books,82.91,222,43,S0507
P00433,Product R433,Electronics,664.24,51,25,S0824
P00434,Product S434,Books,301.81,82,31,S0498
P00435,Product T435,Apparel,486.09,301,26,S0840
P00436,Product U436,Apparel,94.41,615,13,S0114
P00437,Product V437,Apparel,968.36,952,15,S0362
P00438,Product W438,Toys,359.02,118,46,S0009
P00439,Product X439,Home,482.42,359,45,S0796
P00440,Product Y440,Books,358.5,350,37,S0269
P00441,Product Z441,Books,724.11,886,48,S0523
P00442,Product A442,Toys,730.16,942,15,S0711
P00443,Product B443,Electronics,807.85,756,12,S0835
P00444,Product C444,Electronics,39.52,554,10,S0499
P00445,Product D445,Home,892.58,811,24,S0030
P00446,Product E446,Books,931.76,983,25,S0061
P00447,Product F447,Electronics,731.52,264,48,S0072
P00448,Product G448,Books,132.04,782,36,S0481
P00449,Product H449,Toys,238.06,723,46,S0680
P00450,Product I450,Apparel,597.29,645,43,S0748
P00451,Product J451,Toys,269.53,587,21,S0772
P00452,Product K452,Home,432.97,583,37,S0340
P00453,Product L453,Home,394.41,60,17,S0153
P00454,Product M454,Apparel,535.39,938,16,S0140
P00455,Product N455,Toys,615.11,937,43,S0515
P00456,Product O456,Electronics,149.49,276,23,S0641
P00457,Product P457,Apparel,680.26,768,38,S0200
P00458,Product Q458,Apparel,833.1,171,37,S0116
P00459,Product R459,Apparel,752.9,847,30,S0862
P00460,Product S460,Books,288.86,89,47,S0177
P00461,Product T461,Books,404.47,956,35,S0161
P00462,Product U462,Apparel,790.61,765,23,S0764
P00463,Product V463,Apparel,59.84,192,43,S0812
P00464,Product W464,Toys,11.08,250,32,S0344
P00465,Product X465,Home,243.16,467,42,S0796
P00466,Product Y466,Electronics,579.8,116,37,S0077
P00467,Product Z467,Home,472.58,218,46,S0450
P00468,Product A468,Books,489.09,330,34,S0489
P00469,Product B469,Apparel,581.85,440,46,S0685
P00470,Product C470,Apparel,437.5,556,26,S0265
P00471,Product D471,Books,908.88,476,41,S0593
P00472,Product E472,Home,153.85,478,38,S0141
P00473,Product F473,Apparel,742.55,60,38,S0427
P00474,Product G474,Toys,682.9,415,36,S0538
P00475,Product H475,Apparel,504.76,258,26,S0163
P00476,Product I476,Apparel,444.4,301,15,S0117
P00477,Product J477,Books,693.74,435,10,S0855
P00478,Product K478,Apparel,429.85,785,50,S0656
P00479,Product L479,Electronics,566.64,287,16,S0321
P00480,Product M480,Toys,159.65,351,25,S0583
P00481,Product N481,Apparel,790.7,807,48,S0382
P00482,Product O482,Toys,74.52,221,37,S0049
P00483,Product P483,Books,100.28,364,10,S0326
P00484,Product Q484,Electronics,245.93,461,47,S0432
P00485,Product R485,Toys,854.4,382,21,S0232
P00486,Product S486,Home,567.65,809,39,S0667
P00487,Product T487,Electronics,965.25,515,33,S0587
P00488,Product U488,Toys,456.13,211,40,S0501
P00489,Product V489,Toys,116.19,864,44,S0220
P00490,Product W490,Books,754.35,517,29,S0640
P00491,Product X491,Toys,343.05,67,22,S0790
P00492,Product Y492,Toys,135.22,898,43,S0847
P00493,Product Z493,Books,749.93,131,40,S0537
P00494,Product A494,Apparel,330.39,217,16,S0434
P00495,Product B495,Electronics,377.05,219,33,S0375
P00496,Product C496,Apparel,283.74,738,37,S0215
P00497,Product D497,Apparel,603.45,215,13,S0355
P00498,Product E498,Electronics,759.26,905,34,S0113
P00499,Product F499,Apparel,660.02,631,28,S0447
P00500,Product G500,Toys,823.48,470,42,S0426
P00501,Product H501,Apparel,622.95,682,11,S0631
P00502,Product I502,Toys,760.1,804,42,S0127
P00503,Product J503,Electronics,882.37,970,34,S0303
P00504,Product K504,Home,267.04,113,14,S0540
P00505,Product L505,Home,329.85,439,12,S0578
P00506,Product M506,Electronics,368.38,181,42,S0486
P00507,Product N507,Home,394.92,354,35,S0230
P00508,Product O508,Toys,379.46,897,14,S0150
P00509,Product P509,Home,937.82,460,12,S0020
P00510,Product Q510,Apparel,120.72,492,18,S0728
P00511,Product R511,Home,254.32,656,10,S0365
P00512,Product S512,Electronics,407.98,547,49,S0306
P00513,Product T513,Apparel,788.48,661,50,S0222
P00514,Product U514,Electronics,986.38,738,46,S0725
P00515,Product V515,Toys,960.69,800,23,S0369
P00516,Product W516,Home,800.29,308,33,S0444
P00517,Product X517,Toys,145.11,655,43,S0306
P00518,Product Y518,Books,694.19,537,18,S0726
P00519,Product Z519,Books,704.82,881,36,S0647
P00520,Product A520,Electronics,342.89,186,44,S0306
P00521,Product B521,Apparel,441.73,918,15,S0743
P00522,Product C522,Apparel,351.5,664,14,S0395
P00523,Product D523,Home,257.35,103,13,S0482
P00524,Product E524,Toys,989.79,808,43,S0502
P00525,Product F525,Apparel,344.74,755,28,S0658
P00526,Product G526,Electronics,373.32,833,32,S0451
P00527,Product H527,Apparel,959.49,611,21,S0515
P00528,Product I528,Electronics,940.45,62,12,S0235
P00529,Product J529,Electronics,464.53,633,27,S0611
P00530,Product K530,Books,498.99,976,42,S0854
P00531,Product L531,Books,661.27,930,48,S0325
P00532,Product M532,Electronics,634.29,820,15,S0879
P00533,Product N533,Toys,90.12,804,15,S0141
P00534,Product O534,Toys,101.72,836,36,S0217
P00535,Product P535,Apparel,502.8,644,21,S0209
P00536,Product Q536,Apparel,858.59,845,44,S0136
P00537,Product R537,Toys,49.55,972,25,S0248
P00538,Product S538,Apparel,535.11,498,16,S0404
P00539,Product T539,Home,537.06,375,38,S0871
P00540,Product U540,Apparel,673.91,375,24,S0240
P00541,Product V541,Electronics,775.32,505,49,S0063
P00542,Product W542,Electronics,903.25,980,50,S0102
P00543,Product X543,Books,900.26,286,24,S0515
P00544,Product Y544,Home,567.78,903,43,S0285
P00545,Product Z545,Books,558.66,95,11,S0789
P00546,Product A546,Toys,14.41,332,17,S0668
P00547,Product B547,Electronics,240.29,337,21,S0224
P00548,Product C548,Home,338.7,185,39,S0734
P00549,Product D549,Apparel,550.25,891,40,S0821
P00550,Product E550,Books,208.45,145,45,S0441
P00551,Product F551,Toys,776.91,325,11,S0686
P00552,Product G552,Electronics,403.76,999,16,S0166
P00553,Product H553,Books,887.68,172,43,S0603
P00554,Product I554,Toys,371.84,234,25,S0611
P00555,Product J555,Books,352.53,135,22,S0149
